Movie_ID,Title,Director,Cast,Year,Genre
1917,Beder Meye Josna,Tojammel H. Bokul,"Ilias Kanchan, Anju Ghosh",1989,"Romance,Drama"
1918,Bethar Dan,Kamal Ahmed,"Shabana, Alamgir, Dilara",1989,"Romance,Drama"
1919,Ranga Bhabi,Matin Rahman,"Shabana, Alamgir, Nutan",1989,"Family,Drama"
1920,Sattya Mittha,A. J. Mintu,"Shabana, Alamgir, Nutan",1989,"Roamnce,Drama"
1921,Khotipuran,Malek Afsari,"Alamgir, Rozina, Dilara",1989,"Crime,Drama"
1922,Biraha Betha,Chashi Nazrul Islam,"Razzak, Bobita, Champa, Sohel Chowdhury",1989,"Romance,Drama"
1923,Birangana Sokhina,Matin Rahman,"Bobita, Uzzal, Diti",1989,Drama
1924,Jiner Badshah,Razzak,"Razzak, Bapparaj, Ranjita",1989,"Comedy,Drama"
1927,Bhaijan,Raihan Mujib,"Shabana, Jashim, Anjana",1989,Drama
1928,Boner Moto Bon,Darashiko,"Ilias Kanchan, Sunetra",1989,Drama
1930,Rangin Nabab Sirajuddaulah,Pradip Dey,"Prabir Mitra, Bulbul Ahmed",1989,History
1931,Bajramusthi,Shahidul Islam Khokan,"Sohel Rana, Suchorita, Rubel",1989,Drama
