Movie_ID,Title,Director,Cast,Year,Genre
1917,Aguner Poroshmoni,Humayun Ahmed,"Bipasha Hayat, Asaduzzaman Noor, Abul Hayat, Dolly Zahur, Dilara Zaman",1994,"War, Drama"
1918,Tumi Amar,Jahirul Haque,"Salman Shah, Shabnur, Prabir Mitra, Don",1994,Romance
1919,Antore Antore,Shibly Sadik,"Salman Shah, Moushumi, Rajib, Dildar, Nasir Khan, Anwara",1994,Romance
1920,Chaka,Morshedul Islam,"Golan Razul Babu, Ashish Khandokar, Amirul Haque Chowdhury, Abul Khair, Dilara Zaman",1994,Drama
1921,Desh Premik,Kazi Hayat,"Alamgir, Manna, Champa",1994,Drama
1922,Sujan Sokhi,Shah Alam Kiran,"Salman Shah, Shabnur, Raisul Islam Asad, Sadek Bacchu, Anwara",1994,Romance
1923,Bikkhov,Mohammad Hannan,"Salman Shah, Shabnur, Bulbul Ahmed, Dolly Zahur, Dildar, Nasir Khan, Rajib, Sharmili",1994,"Action, Drama"
1924,Sneho,Gazi Mazharul Anwar,"Salman Shah, Moushumi, Shabana, Alamgir",1994,Drama
1925,Prem Juddho,Jibon Rahman,"Salman Shah, Lima, Prabir Mitra, Sharmili Ahmed",1994,"Action, Romance"
